{'pred': 0.11547256097560976, 'score': 0.11547256097560976, 'examples_seen': 80, 'step': 0, 'algorithm': 'insertion_sort'},
{'pred': 0.34946646341463417, 'score': 0.34946646341463417, 'examples_seen': 1536, 'step': 50, 'algorithm': 'insertion_sort'},
{'pred': 0.19474085365853658, 'score': 0.19474085365853658, 'examples_seen': 3120, 'step': 100, 'algorithm': 'insertion_sort'},
{'pred': 0.4333079268292683, 'score': 0.4333079268292683, 'examples_seen': 4512, 'step': 150, 'algorithm': 'insertion_sort'},
{'pred': 0.35251524390243905, 'score': 0.35251524390243905, 'examples_seen': 6112, 'step': 200, 'algorithm': 'insertion_sort'},
{'pred': 0.36890243902439024, 'score': 0.36890243902439024, 'examples_seen': 7440, 'step': 250, 'algorithm': 'insertion_sort'},
{'pred': 0.48323170731707316, 'score': 0.48323170731707316, 'examples_seen': 9088, 'step': 300, 'algorithm': 'insertion_sort'},
{'pred': 0.5007621951219512, 'score': 0.5007621951219512, 'examples_seen': 10624, 'step': 350, 'algorithm': 'insertion_sort'},
{'pred': 0.4260670731707317, 'score': 0.4260670731707317, 'examples_seen': 12032, 'step': 400, 'algorithm': 'insertion_sort'},
{'pred': 0.3643292682926829, 'score': 0.3643292682926829, 'examples_seen': 13632, 'step': 450, 'algorithm': 'insertion_sort'},
{'pred': 0.5167682926829268, 'score': 0.5167682926829268, 'examples_seen': 15008, 'step': 500, 'algorithm': 'insertion_sort'},
{'pred': 0.4973323170731707, 'score': 0.4973323170731707, 'examples_seen': 16608, 'step': 550, 'algorithm': 'insertion_sort'},
{'pred': 0.5758384146341463, 'score': 0.5758384146341463, 'examples_seen': 17984, 'step': 600, 'algorithm': 'insertion_sort'},
{'pred': 0.5865091463414634, 'score': 0.5865091463414634, 'examples_seen': 19600, 'step': 650, 'algorithm': 'insertion_sort'},
{'pred': 0.36089939024390244, 'score': 0.36089939024390244, 'examples_seen': 21120, 'step': 700, 'algorithm': 'insertion_sort'},
{'pred': 0.6059451219512195, 'score': 0.6059451219512195, 'examples_seen': 22576, 'step': 750, 'algorithm': 'insertion_sort'},
{'pred': 0.6310975609756098, 'score': 0.6310975609756098, 'examples_seen': 24128, 'step': 800, 'algorithm': 'insertion_sort'},
{'pred': 0.6775914634146342, 'score': 0.6775914634146342, 'examples_seen': 25536, 'step': 850, 'algorithm': 'insertion_sort'},
{'pred': 0.6577743902439024, 'score': 0.6577743902439024, 'examples_seen': 27152, 'step': 900, 'algorithm': 'insertion_sort'},
{'pred': 0.5945121951219512, 'score': 0.5945121951219512, 'examples_seen': 28464, 'step': 950, 'algorithm': 'insertion_sort'},
{'pred': 0.6695884146341463, 'score': 0.6695884146341463, 'examples_seen': 30112, 'step': 1000, 'algorithm': 'insertion_sort'},
{'pred': 0.5613567073170732, 'score': 0.5613567073170732, 'examples_seen': 31616, 'step': 1050, 'algorithm': 'insertion_sort'},
{'pred': 0.6951219512195121, 'score': 0.6951219512195121, 'examples_seen': 33072, 'step': 1100, 'algorithm': 'insertion_sort'},
{'pred': 0.7774390243902439, 'score': 0.7774390243902439, 'examples_seen': 34656, 'step': 1150, 'algorithm': 'insertion_sort'},
{'pred': 0.6894054878048781, 'score': 0.6894054878048781, 'examples_seen': 36032, 'step': 1200, 'algorithm': 'insertion_sort'},
{'pred': 0.8132621951219512, 'score': 0.8132621951219512, 'examples_seen': 37648, 'step': 1250, 'algorithm': 'insertion_sort'},
{'pred': 0.6303353658536586, 'score': 0.6303353658536586, 'examples_seen': 38960, 'step': 1300, 'algorithm': 'insertion_sort'},
{'pred': 0.7065548780487805, 'score': 0.7065548780487805, 'examples_seen': 40608, 'step': 1350, 'algorithm': 'insertion_sort'},
{'pred': 0.541920731707317, 'score': 0.541920731707317, 'examples_seen': 42160, 'step': 1400, 'algorithm': 'insertion_sort'},
{'pred': 0.743140243902439, 'score': 0.743140243902439, 'examples_seen': 43584, 'step': 1450, 'algorithm': 'insertion_sort'},
{'pred': 0.7679115853658537, 'score': 0.7679115853658537, 'examples_seen': 45168, 'step': 1500, 'algorithm': 'insertion_sort'},
{'pred': 0.7652439024390244, 'score': 0.7652439024390244, 'examples_seen': 46528, 'step': 1550, 'algorithm': 'insertion_sort'},
{'pred': 0.7084603658536586, 'score': 0.7084603658536586, 'examples_seen': 48160, 'step': 1600, 'algorithm': 'insertion_sort'},
