{'match': 0.012939453125, 'score': 0.012939453125, 'examples_seen': 6, 'step': 0, 'algorithm': 'naive_string_matcher'},
{'match': 0.047119140625, 'score': 0.047119140625, 'examples_seen': 440, 'step': 50, 'algorithm': 'naive_string_matcher'},
{'match': 0.054931640625, 'score': 0.054931640625, 'examples_seen': 870, 'step': 100, 'algorithm': 'naive_string_matcher'},
{'match': 0.1435546875, 'score': 0.1435546875, 'examples_seen': 1311, 'step': 150, 'algorithm': 'naive_string_matcher'},
{'match': 0.188232421875, 'score': 0.188232421875, 'examples_seen': 1747, 'step': 200, 'algorithm': 'naive_string_matcher'},
{'match': 0.149658203125, 'score': 0.149658203125, 'examples_seen': 2165, 'step': 250, 'algorithm': 'naive_string_matcher'},
{'match': 0.2431640625, 'score': 0.2431640625, 'examples_seen': 2594, 'step': 300, 'algorithm': 'naive_string_matcher'},
{'match': 0.146728515625, 'score': 0.146728515625, 'examples_seen': 3015, 'step': 350, 'algorithm': 'naive_string_matcher'},
{'match': 0.23681640625, 'score': 0.23681640625, 'examples_seen': 3445, 'step': 400, 'algorithm': 'naive_string_matcher'},
{'match': 0.232666015625, 'score': 0.232666015625, 'examples_seen': 3867, 'step': 450, 'algorithm': 'naive_string_matcher'},
{'match': 0.164306640625, 'score': 0.164306640625, 'examples_seen': 4287, 'step': 500, 'algorithm': 'naive_string_matcher'},
{'match': 0.173583984375, 'score': 0.173583984375, 'examples_seen': 4717, 'step': 550, 'algorithm': 'naive_string_matcher'},
{'match': 0.164794921875, 'score': 0.164794921875, 'examples_seen': 5147, 'step': 600, 'algorithm': 'naive_string_matcher'},
{'match': 0.22216796875, 'score': 0.22216796875, 'examples_seen': 5574, 'step': 650, 'algorithm': 'naive_string_matcher'},
{'match': 0.153076171875, 'score': 0.153076171875, 'examples_seen': 5995, 'step': 700, 'algorithm': 'naive_string_matcher'},
{'match': 0.19189453125, 'score': 0.19189453125, 'examples_seen': 6430, 'step': 750, 'algorithm': 'naive_string_matcher'},
