{'score': 0.053156146179401995, 'examples_seen': 16, 'step': 0, 'algorithm': 'articulation_points'},
{'score': 0.0, 'examples_seen': 397, 'step': 50, 'algorithm': 'articulation_points'},
{'score': 0.0, 'examples_seen': 863, 'step': 100, 'algorithm': 'articulation_points'},
{'score': 0.0, 'examples_seen': 1260, 'step': 150, 'algorithm': 'articulation_points'},
{'score': 0.04358353510895884, 'examples_seen': 1727, 'step': 200, 'algorithm': 'articulation_points'},
{'score': 0.11290322580645161, 'examples_seen': 2106, 'step': 250, 'algorithm': 'articulation_points'},
{'score': 0.4626168224299065, 'examples_seen': 2592, 'step': 300, 'algorithm': 'articulation_points'},
{'score': 0.21212121212121213, 'examples_seen': 3031, 'step': 350, 'algorithm': 'articulation_points'},
{'score': 0.12598425196850394, 'examples_seen': 3454, 'step': 400, 'algorithm': 'articulation_points'},
{'score': 0.3705722070844687, 'examples_seen': 3914, 'step': 450, 'algorithm': 'articulation_points'},
{'score': 0.20212765957446807, 'examples_seen': 4317, 'step': 500, 'algorithm': 'articulation_points'},
{'score': 0.29012345679012347, 'examples_seen': 4779, 'step': 550, 'algorithm': 'articulation_points'},
{'score': 0.395, 'examples_seen': 5176, 'step': 600, 'algorithm': 'articulation_points'},
{'score': 0.6428571428571428, 'examples_seen': 5651, 'step': 650, 'algorithm': 'articulation_points'},
{'score': 0.35327635327635326, 'examples_seen': 6104, 'step': 700, 'algorithm': 'articulation_points'},
{'score': 0.3446153846153846, 'examples_seen': 6512, 'step': 750, 'algorithm': 'articulation_points'},
{'score': 0.45147679324894513, 'examples_seen': 6987, 'step': 800, 'algorithm': 'articulation_points'},
{'score': 0.3052959501557633, 'examples_seen': 7365, 'step': 850, 'algorithm': 'articulation_points'},
{'score': 0.4965517241379311, 'examples_seen': 7842, 'step': 900, 'algorithm': 'articulation_points'},
{'score': 0.47311827956989244, 'examples_seen': 8222, 'step': 950, 'algorithm': 'articulation_points'},
{'score': 0.3943661971830986, 'examples_seen': 8707, 'step': 1000, 'algorithm': 'articulation_points'},
{'score': 0.40890688259109315, 'examples_seen': 9149, 'step': 1050, 'algorithm': 'articulation_points'},
{'score': 0.6666666666666666, 'examples_seen': 9570, 'step': 1100, 'algorithm': 'articulation_points'},
{'score': 0.3884892086330935, 'examples_seen': 10023, 'step': 1150, 'algorithm': 'articulation_points'},
{'score': 0.49551166965888693, 'examples_seen': 10417, 'step': 1200, 'algorithm': 'articulation_points'},
{'score': 0.2546419098143236, 'examples_seen': 10895, 'step': 1250, 'algorithm': 'articulation_points'},
{'score': 0.5424354243542436, 'examples_seen': 11266, 'step': 1300, 'algorithm': 'articulation_points'},
{'score': 0.21142857142857144, 'examples_seen': 11754, 'step': 1350, 'algorithm': 'articulation_points'},
{'score': 0.21656050955414013, 'examples_seen': 12216, 'step': 1400, 'algorithm': 'articulation_points'},
{'score': 0.5893536121673003, 'examples_seen': 12628, 'step': 1450, 'algorithm': 'articulation_points'},
{'score': 0.4537521815008726, 'examples_seen': 13099, 'step': 1500, 'algorithm': 'articulation_points'},
{'score': 0.4369230769230769, 'examples_seen': 13491, 'step': 1550, 'algorithm': 'articulation_points'},
{'score': 0.3682719546742209, 'examples_seen': 13960, 'step': 1600, 'algorithm': 'articulation_points'},
{'score': 0.2424242424242424, 'examples_seen': 14345, 'step': 1650, 'algorithm': 'articulation_points'},
{'score': 0.3080459770114943, 'examples_seen': 14828, 'step': 1700, 'algorithm': 'articulation_points'},
{'score': 0.48392554991539766, 'examples_seen': 15269, 'step': 1750, 'algorithm': 'articulation_points'},
{'score': 0.31657355679702043, 'examples_seen': 15684, 'step': 1800, 'algorithm': 'articulation_points'},
{'score': 0.41839762611275966, 'examples_seen': 16148, 'step': 1850, 'algorithm': 'articulation_points'},
{'score': 0.43930635838150295, 'examples_seen': 16550, 'step': 1900, 'algorithm': 'articulation_points'},
{'score': 0.5567010309278351, 'examples_seen': 17021, 'step': 1950, 'algorithm': 'articulation_points'},
{'score': 0.44223107569721115, 'examples_seen': 17412, 'step': 2000, 'algorithm': 'articulation_points'},
{'score': 0.3543123543123543, 'examples_seen': 17874, 'step': 2050, 'algorithm': 'articulation_points'},
{'score': 0.5879917184265011, 'examples_seen': 18327, 'step': 2100, 'algorithm': 'articulation_points'},
{'score': 0.6250000000000001, 'examples_seen': 18737, 'step': 2150, 'algorithm': 'articulation_points'},
{'score': 0.45514223194748354, 'examples_seen': 19208, 'step': 2200, 'algorithm': 'articulation_points'},
{'score': 0.3079584775086505, 'examples_seen': 19601, 'step': 2250, 'algorithm': 'articulation_points'},
{'score': 0.41624365482233505, 'examples_seen': 20076, 'step': 2300, 'algorithm': 'articulation_points'},
{'score': 0.4247787610619469, 'examples_seen': 20451, 'step': 2350, 'algorithm': 'articulation_points'},
